,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01010000,278,278,-,-,278,269,-,9,3,11,6,255,3,-,-
S01010001,339,339,-,-,339,332,-,7,4,47,33,250,5,-,-
S01010002,341,341,-,-,341,336,-,5,3,23,16,295,3,-,1
S01010003,280,280,-,-,280,279,-,1,5,101,61,113,-,-,-
S01010004,275,275,-,-,275,273,-,2,4,94,155,18,4,-,-
S01010005,506,506,-,-,506,488,1,17,-,3,5,496,2,-,-
S01010006,594,594,-,-,594,586,1,7,2,3,6,582,1,-,-
S01010007,439,439,-,-,439,429,4,6,6,57,158,211,7,-,-
S01010008,419,419,-,-,419,410,1,8,1,3,1,410,1,3,-
S01010009,445,445,-,-,445,416,1,28,1,2,8,425,9,-,-
S01010010,458,458,-,-,458,451,-,7,33,122,127,170,6,-,-
S01010011,554,554,-,-,554,544,1,9,1,2,3,533,15,-,-
S01010012,350,350,-,-,350,348,-,2,3,45,140,157,5,-,-
S01010013,474,474,-,-,474,457,1,16,2,57,32,376,7,-,-
S01010014,537,537,-,-,537,523,2,12,5,8,44,461,19,-,-
S01010015,405,405,-,-,405,392,1,12,2,2,31,356,11,3,-
S01010016,331,331,-,-,331,325,-,6,5,74,92,158,2,-,-
S01010017,344,344,-,-,344,339,-,5,2,1,20,320,1,-,-
S01010018,532,531,1,-,533,525,-,8,4,40,38,450,1,-,-
S01010019,450,450,-,-,450,409,-,41,-,1,5,443,1,-,-
S01010020,352,352,-,-,352,346,1,5,6,38,81,225,2,-,-
S01010021,534,532,1,1,537,400,-,137,3,8,57,462,5,2,-
S01010022,473,473,-,-,473,468,1,4,7,7,76,383,-,-,-
S01010023,392,392,-,-,392,387,-,5,-,2,6,382,1,-,1
S01010024,419,419,-,-,419,402,2,15,5,3,27,375,8,1,-
S01010025,316,316,-,-,316,316,-,-,4,8,11,292,-,1,-
S01010026,496,495,-,1,498,492,-,6,2,2,27,453,14,-,-
S01010027,487,487,-,-,487,483,3,1,2,4,40,437,2,1,1
S01010028,389,389,-,-,389,381,1,7,3,2,8,368,8,-,-
S01010029,410,410,-,-,410,398,-,12,-,1,9,399,-,1,-
S01010030,433,433,-,-,433,429,1,3,1,4,43,385,-,-,-
S01010031,432,432,-,-,432,423,1,8,1,9,4,372,19,27,-
S01010032,330,330,-,-,330,298,1,31,2,1,-,308,14,5,-
S01010033,591,591,-,-,591,503,-,88,2,2,7,573,3,2,2
S01010034,504,503,1,-,505,498,-,7,2,8,32,453,7,3,-
S01010035,391,388,-,3,402,401,1,-,4,1,6,378,2,11,-
S01010036,436,436,-,-,436,423,1,12,-,2,3,406,12,13,-
S01010037,386,386,-,-,386,376,1,9,6,18,110,247,-,1,4
S01010038,573,572,-,1,576,568,1,7,8,25,93,442,3,3,2
S01010039,619,619,-,-,619,593,3,23,-,-,3,602,9,5,-
S01010040,434,434,-,-,434,415,3,16,4,9,46,363,8,4,-
S01010041,477,477,-,-,477,451,3,23,1,3,16,450,5,2,-
