,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01006895,277,277,-,-,277,266,1,10,9,73,47,146,-,1,1
S01006896,373,373,-,-,373,361,-,12,88,131,32,107,11,4,-
S01006897,293,293,-,-,293,290,-,3,79,103,71,34,6,-,-
S01006898,345,345,-,-,345,340,-,5,94,182,15,54,-,-,-
S01006899,247,247,-,-,247,242,-,5,116,126,1,3,1,-,-
S01006900,237,237,-,-,237,234,-,3,113,97,21,5,1,-,-
S01006901,276,276,-,-,276,270,-,6,26,138,40,71,1,-,-
S01006902,303,303,-,-,303,296,-,7,76,134,7,80,2,1,3
S01006903,356,356,-,-,356,349,-,7,58,135,75,83,5,-,-
S01006904,345,345,-,-,345,330,1,14,83,48,66,136,12,-,-
S01006905,407,407,-,-,407,395,2,10,140,162,28,65,5,6,1
S01006906,448,448,-,-,448,441,-,7,23,121,158,144,2,-,-
S01006907,318,318,-,-,318,305,1,12,85,29,18,160,16,10,-
S01006908,450,450,-,-,450,426,6,18,67,75,75,215,16,2,-
S01006909,279,279,-,-,279,275,1,3,240,26,5,8,-,-,-
S01006910,363,363,-,-,363,353,1,9,269,33,18,13,3,-,27
S01006911,234,234,-,-,234,224,-,10,186,25,15,6,2,-,-
S01006912,188,188,-,-,188,170,6,12,140,30,7,1,10,-,-
S01006913,185,185,-,-,185,182,-,3,158,24,-,-,1,2,-
S01006914,283,283,-,-,283,273,2,8,207,52,17,2,3,-,2
S01006915,316,316,-,-,316,301,-,15,238,67,7,2,2,-,-
S01006916,213,213,-,-,213,207,2,4,106,67,4,35,1,-,-
S01006917,322,322,-,-,322,320,-,2,277,41,3,-,1,-,-
S01006918,195,195,-,-,195,195,-,-,109,59,12,9,5,1,-
S01006919,209,209,-,-,209,205,1,3,95,55,40,14,5,-,-
S01006920,247,247,-,-,247,243,-,4,82,50,15,90,6,4,-
S01006921,274,274,-,-,274,270,1,3,216,53,4,-,-,1,-
S01006922,208,208,-,-,208,201,-,7,156,28,8,1,-,-,15
S01006923,336,336,-,-,336,331,1,4,208,57,38,31,2,-,-
S01006924,212,212,-,-,212,208,1,3,171,30,7,1,1,2,-
S01006925,216,216,-,-,216,215,-,1,108,72,2,31,2,1,-
S01006926,266,266,-,-,266,263,1,2,194,66,3,2,1,-,-
S01006927,362,362,-,-,362,358,-,4,277,57,3,24,1,-,-
S01006928,428,428,-,-,428,416,1,11,219,127,52,22,6,-,2
S01006929,284,284,-,-,284,280,1,3,269,12,2,1,-,-,-
S01006930,361,361,-,-,361,358,-,3,266,79,3,13,-,-,-
S01006931,163,163,-,-,163,159,-,4,120,22,17,-,1,-,3
S01006932,198,198,-,-,198,195,-,3,139,55,3,1,-,-,-
S01006933,221,221,-,-,221,220,-,1,69,151,-,1,-,-,-
S01006934,238,238,-,-,238,234,1,3,130,62,43,2,-,1,-
S01006935,307,307,-,-,307,301,-,6,92,168,13,33,1,-,-
S01006936,278,278,-,-,278,274,1,3,26,181,29,42,-,-,-
S01006937,325,325,-,-,325,316,1,8,121,74,61,67,1,-,1
S01006938,260,260,-,-,260,254,-,6,39,123,24,73,1,-,-
S01006939,237,237,-,-,237,234,1,2,131,99,3,4,-,-,-
S01006940,382,382,-,-,382,378,1,3,210,86,26,58,-,2,-
S01006941,261,261,-,-,261,255,1,5,62,72,103,1,-,-,23
S01006942,391,391,-,-,391,390,-,1,186,167,15,22,-,-,1
S01006943,208,208,-,-,208,208,-,-,193,14,1,-,-,-,-
S01006944,336,336,-,-,336,327,-,9,175,62,3,95,1,-,-
S01006945,220,220,-,-,220,215,1,4,119,65,6,29,1,-,-
S01006946,322,322,-,-,322,314,1,7,168,88,14,43,7,2,-
S01006947,311,311,-,-,311,306,2,3,163,134,5,9,-,-,-
S01006948,383,383,-,-,383,372,-,11,193,124,39,24,2,1,-
S01006949,259,259,-,-,259,248,1,10,207,38,11,-,1,1,1
S01006950,204,204,-,-,204,199,-,5,101,76,2,16,9,-,-
S01006951,208,208,-,-,208,204,-,4,65,138,3,2,-,-,-
S01006952,380,380,-,-,380,364,7,9,308,35,6,3,1,-,27
S01006953,308,308,-,-,308,301,1,6,244,19,31,13,1,-,-
S01006954,322,322,-,-,322,317,2,3,166,138,11,7,-,-,-
S01006955,269,269,-,-,269,267,-,2,18,138,43,68,2,-,-
S01006956,398,398,-,-,398,394,-,4,199,150,46,2,-,-,1
S01006957,397,397,-,-,397,387,-,10,293,71,16,5,9,1,2
S01006958,451,451,-,-,451,435,-,16,281,144,7,12,4,3,-
S01006959,362,361,1,-,363,347,-,16,66,114,19,140,13,11,-
S01006960,324,324,-,-,324,318,1,5,270,37,6,11,-,-,-
S01006961,329,329,-,-,329,321,-,8,276,38,13,-,-,2,-
S01006962,413,413,-,-,413,409,-,4,102,254,3,54,-,-,-
S01006963,283,283,-,-,283,275,-,8,146,91,6,37,2,1,-
S01006964,351,351,-,-,351,348,-,3,76,78,23,170,2,2,-
S01006965,221,221,-,-,221,216,2,3,100,59,8,52,2,-,-
S01006966,253,253,-,-,253,253,-,-,25,170,52,6,-,-,-
S01006967,239,239,-,-,239,237,-,2,59,169,2,7,2,-,-
S01006968,227,227,-,-,227,224,-,3,33,175,7,11,1,-,-
S01006969,416,416,-,-,416,412,-,4,60,267,9,71,9,-,-
S01006970,267,267,-,-,267,258,1,8,222,21,1,23,-,-,-
S01006971,253,253,-,-,253,248,-,5,47,99,33,65,7,1,1
S01006972,201,201,-,-,201,192,1,8,145,42,13,-,-,-,1
S01006973,245,245,-,-,245,234,2,9,143,79,15,3,5,-,-
S01006974,410,410,-,-,410,393,2,15,253,83,43,26,4,1,-
S01006975,434,434,-,-,434,386,16,32,337,58,29,2,4,1,3
S01006976,176,176,-,-,176,172,-,4,139,29,5,-,1,-,2
S01006977,341,341,-,-,341,316,1,24,258,67,12,3,-,1,-
S01006978,387,387,-,-,387,371,-,16,269,88,24,1,2,3,-
S01006979,380,380,-,-,380,369,5,6,178,120,66,12,3,1,-
S01006980,345,345,-,-,345,326,-,19,262,77,1,1,1,-,3
S01006981,336,336,-,-,336,321,1,14,189,80,54,8,3,2,-
S01006982,362,362,-,-,362,359,-,3,161,150,26,24,-,1,-
S01006983,296,296,-,-,296,289,2,5,148,141,3,1,2,-,1
S01006984,290,290,-,-,290,275,2,13,194,74,19,-,1,1,1
S01006985,442,442,-,-,442,432,-,10,188,179,37,34,2,1,1
S01006986,248,248,-,-,248,243,3,2,164,57,13,9,5,-,-
S01006987,308,308,-,-,308,294,3,11,155,83,31,28,5,6,-
S01006988,225,225,-,-,225,218,-,7,148,67,6,1,1,-,2
S01006989,388,388,-,-,388,375,2,11,293,74,17,1,1,1,1
S01006990,321,321,-,-,321,313,1,7,273,39,6,-,2,1,-
S01006991,225,225,-,-,225,216,1,8,82,67,51,20,3,2,-
S01006992,254,254,-,-,254,241,1,12,206,44,2,-,-,-,2
S01006993,206,206,-,-,206,202,-,4,186,15,2,-,1,-,2
S01006994,235,235,-,-,235,226,1,8,210,22,3,-,-,-,-
S01006995,347,347,-,-,347,331,-,16,263,55,23,3,1,2,-
S01006996,314,314,-,-,314,306,-,8,157,120,19,15,-,3,-
S01006997,305,305,-,-,305,292,-,13,247,39,12,4,3,-,-
S01006998,462,462,-,-,462,450,2,10,347,67,41,2,3,1,1
S01006999,349,349,-,-,349,334,3,12,271,68,5,-,1,-,4
S01007000,425,425,-,-,425,414,-,11,224,135,27,36,2,-,1
S01007001,401,401,-,-,401,388,2,11,221,98,57,18,1,6,-
S01007002,253,253,-,-,253,230,9,14,168,53,10,21,-,-,1
S01007003,214,214,-,-,214,205,3,6,169,35,5,1,3,-,1
S01007004,325,325,-,-,325,304,13,8,252,54,10,3,5,-,1
S01007005,362,362,-,-,362,348,1,13,302,44,10,3,1,2,-
S01007006,419,419,-,-,419,394,16,9,240,104,48,21,5,-,1
S01007007,361,361,-,-,361,338,8,15,264,78,15,2,-,-,2
S01007008,461,461,-,-,461,450,-,11,105,198,87,53,16,2,-
S01007009,518,518,-,-,518,496,3,19,163,134,64,139,12,5,1
S01007010,410,410,-,-,410,392,-,18,182,73,49,92,4,10,-
S01007011,483,483,-,-,483,463,-,20,61,124,103,161,19,14,1
S01007012,325,325,-,-,325,322,-,3,14,115,188,7,1,-,-
S01007013,226,226,-,-,226,222,3,1,185,31,5,4,-,-,1
S01007014,399,399,-,-,399,381,9,9,291,98,5,2,2,1,-
S01007015,264,264,-,-,264,247,4,13,210,45,6,1,1,-,1
S01007016,223,223,-,-,223,213,2,8,193,26,4,-,-,-,-
S01007017,492,492,-,-,492,476,2,14,50,174,156,100,5,7,-
S01007018,435,435,-,-,435,421,1,13,224,118,59,31,1,2,-
S01007019,316,316,-,-,316,309,-,7,110,81,106,15,4,-,-
S01007020,430,430,-,-,430,411,2,17,125,75,64,125,16,25,-
S01007021,422,422,-,-,422,403,1,18,97,214,67,36,8,-,-
S01007022,209,209,-,-,209,209,-,-,101,96,9,2,1,-,-
S01007023,258,258,-,-,258,203,36,19,141,92,21,2,2,-,-
S01007024,458,458,-,-,458,416,20,22,331,97,21,3,-,1,5
S01007025,418,418,-,-,418,389,19,10,82,274,32,27,2,1,-
S01007026,464,464,-,-,464,412,32,20,259,118,29,46,8,4,-
S01007027,542,542,-,-,542,481,42,19,248,186,66,37,5,-,-
S01007028,334,334,-,-,334,315,12,7,233,82,8,8,2,-,1
S01007029,236,236,-,-,236,221,13,2,216,14,1,2,-,-,3
S01007030,353,353,-,-,353,338,7,8,158,80,106,6,2,1,-
S01007031,306,306,-,-,306,285,10,11,157,81,36,25,4,3,-
S01007032,568,568,-,-,568,507,32,29,86,171,118,148,22,22,1
S01007033,348,348,-,-,348,338,8,2,72,122,121,29,4,-,-
S01007034,272,272,-,-,272,266,1,5,76,83,50,50,13,-,-
S01007035,383,383,-,-,383,375,2,6,36,211,96,36,3,-,1
S01007036,414,414,-,-,414,401,3,10,210,72,60,55,13,4,-
S01007037,461,461,-,-,461,453,1,7,100,194,127,39,-,1,-
S01007038,360,360,-,-,360,328,13,19,96,110,68,69,15,2,-
S01007039,393,393,-,-,393,368,6,19,128,142,86,36,-,1,-
S01007040,306,306,-,-,306,301,-,5,83,121,70,29,2,1,-
S01007041,371,371,-,-,371,344,8,19,120,103,82,48,9,9,-
S01007042,329,329,-,-,329,318,-,11,177,105,31,14,2,-,-
S01007043,405,405,-,-,405,382,9,14,327,63,9,-,2,1,3
S01007044,425,425,-,-,425,306,77,42,144,139,113,23,4,2,-
S01007045,382,382,-,-,382,325,42,15,343,26,3,3,1,-,6
S01007046,290,290,-,-,290,259,21,10,163,108,15,3,-,-,1
S01007047,278,278,-,-,278,261,2,15,222,45,7,1,1,-,2
S01007048,373,373,-,-,373,359,2,12,296,54,17,4,-,-,2
S01007049,432,432,-,-,432,415,1,16,98,219,91,19,1,4,-
S01007050,315,315,-,-,315,295,-,20,139,113,44,16,1,2,-
S01007051,343,343,-,-,343,332,-,11,125,136,38,31,12,-,1
S01007052,241,241,-,-,241,233,-,8,147,69,22,2,1,-,-
S01007053,201,201,-,-,201,191,1,9,183,14,2,1,-,-,1
S01007054,441,441,-,-,441,434,1,6,105,190,113,17,11,5,-
S01007055,205,205,-,-,205,196,2,7,177,22,2,1,1,-,2
S01007056,229,229,-,-,229,221,1,7,198,24,3,3,1,-,-
S01007057,250,250,-,-,250,247,2,1,140,89,10,9,2,-,-
S01007058,290,290,-,-,290,288,-,2,90,125,42,33,-,-,-
S01007059,444,444,-,-,444,433,-,11,182,219,20,21,1,1,-
S01007060,239,239,-,-,239,231,-,8,31,184,23,1,-,-,-
S01007061,365,365,-,-,365,346,5,14,314,39,4,5,-,-,3
S01007062,277,277,-,-,277,272,-,5,231,39,1,1,2,3,-
S01007063,293,293,-,-,293,282,-,11,121,117,40,12,3,-,-
S01007064,266,266,-,-,266,253,1,12,181,58,20,1,4,1,1
S01007065,284,284,-,-,284,249,19,16,156,67,56,-,2,2,1
S01007066,271,271,-,-,271,252,1,18,214,46,6,1,4,-,-
S01007067,264,264,-,-,264,254,-,10,75,132,11,46,-,-,-
S01007068,348,348,-,-,348,329,6,13,141,104,78,14,8,3,-
S01007069,354,354,-,-,354,338,1,15,115,122,107,7,-,2,1
S01007070,262,262,-,-,262,247,4,11,59,110,65,25,1,2,-
S01007071,367,367,-,-,367,356,-,11,141,169,31,20,4,2,-
S01007072,247,247,-,-,247,246,-,1,84,108,52,3,-,-,-
S01007073,359,359,-,-,359,358,-,1,124,156,76,1,2,-,-
S01007074,296,296,-,-,296,292,-,4,16,66,150,64,-,-,-
S01007075,319,319,-,-,319,305,6,8,14,79,195,31,-,-,-
S01007076,292,292,-,-,292,289,2,1,26,67,193,6,-,-,-
S01007077,321,321,-,-,321,311,4,6,45,171,101,4,-,-,-
S01007078,404,404,-,-,404,398,-,6,80,125,89,106,4,-,-
S01007079,548,548,-,-,548,522,-,26,97,135,40,253,22,-,1
S01007080,395,395,-,-,395,386,-,9,48,166,24,146,11,-,-
S01007081,384,384,-,-,384,370,6,8,33,132,96,106,17,-,-
S01007082,238,238,-,-,238,233,1,4,40,88,28,69,13,-,-
S01007083,466,466,-,-,466,451,-,15,33,104,91,235,3,-,-
S01007084,286,286,-,-,286,273,1,12,56,106,19,81,23,1,-
S01007085,399,399,-,-,399,366,2,31,34,74,39,184,62,6,-
S01007086,684,684,-,-,684,573,41,70,24,55,87,439,49,29,1
S01007087,493,493,-,-,493,439,18,36,44,87,75,229,49,9,-
S01007088,266,266,-,-,266,247,11,8,6,34,17,185,23,1,-
S01007089,227,227,-,-,227,217,-,10,146,73,4,4,-,-,-
S01007090,248,248,-,-,248,243,-,5,43,141,35,28,1,-,-
S01007091,287,287,-,-,287,280,-,7,71,185,9,20,2,-,-
S01007092,321,321,-,-,321,307,1,13,26,140,99,41,14,-,1
S01007093,426,426,-,-,426,417,1,8,174,192,22,33,5,-,-
S01007094,357,357,-,-,357,354,-,3,153,169,25,8,2,-,-
S01007095,214,214,-,-,214,209,-,5,182,21,6,1,-,-,4
S01007096,329,329,-,-,329,316,-,13,232,59,14,17,3,-,4
S01007097,199,199,-,-,199,188,-,11,161,30,4,2,1,-,1
S01007098,300,300,-,-,300,288,3,9,248,45,7,-,-,-,-
S01007099,347,347,-,-,347,338,-,9,231,69,29,15,1,-,2
S01007100,311,311,-,-,311,298,3,10,197,74,32,4,2,1,1
S01007101,352,352,-,-,352,342,2,8,88,161,87,15,1,-,-
S01007102,274,274,-,-,274,260,1,13,240,31,-,2,-,-,1
S01007103,341,341,-,-,341,330,2,9,212,80,47,1,-,-,1
S01007104,208,208,-,-,208,197,-,11,169,30,6,2,-,1,-
S01007105,258,258,-,-,258,238,5,15,179,43,20,15,1,-,-
S01007106,344,344,-,-,344,319,5,20,184,106,52,2,-,-,-
S01007107,268,268,-,-,268,256,1,11,233,28,2,2,2,-,1
S01007108,240,240,-,-,240,226,-,14,208,21,8,-,1,1,1
S01007109,380,380,-,-,380,371,2,7,76,203,61,24,13,3,-
S01007110,343,343,-,-,343,324,2,17,114,109,71,43,4,1,1
S01007111,235,235,-,-,235,225,4,6,74,109,39,12,1,-,-
S01007112,220,220,-,-,220,214,1,5,166,32,10,11,1,-,-
S01007113,245,245,-,-,245,231,6,8,44,65,30,56,50,-,-
S01007114,386,386,-,-,386,378,-,8,97,137,143,9,-,-,-
S01007115,261,261,-,-,261,257,-,4,145,87,6,21,1,1,-
S01007116,316,316,-,-,316,315,-,1,254,50,6,6,-,-,-
S01007117,180,180,-,-,180,177,-,3,157,16,6,-,1,-,-
S01007118,291,291,-,-,291,282,-,9,18,71,194,5,3,-,-
S01007119,331,331,-,-,331,330,-,1,23,153,152,2,1,-,-
S01007120,507,507,-,-,507,483,9,15,72,143,205,80,7,-,-
S01007121,321,321,-,-,321,294,19,8,7,36,57,199,9,13,-
S01007122,300,300,-,-,300,287,9,4,56,72,22,133,17,-,-
S01007123,321,321,-,-,321,313,-,8,22,135,100,63,-,1,-
S01007124,387,387,-,-,387,380,2,5,42,218,119,5,3,-,-
S01007125,367,367,-,-,367,351,8,8,58,190,72,30,16,1,-
S01007126,441,441,-,-,441,399,37,5,23,91,146,173,8,-,-
S01007127,494,494,-,-,494,446,3,45,32,46,119,232,41,24,-
S01007128,433,433,-,-,433,411,13,9,27,130,157,107,11,1,-
S01007129,383,383,-,-,383,374,1,8,260,69,44,7,3,-,-
S01007130,282,282,-,-,282,280,-,2,95,77,60,43,6,1,-
S01007131,348,348,-,-,348,341,-,7,184,110,16,36,2,-,-
S01007132,304,304,-,-,304,297,-,7,142,120,21,18,2,1,-
S01007133,269,269,-,-,269,262,3,4,158,69,30,8,3,-,1
S01007134,336,336,-,-,336,317,-,19,194,90,7,24,1,-,20
S01007135,229,228,1,-,230,221,3,6,169,32,8,4,14,-,3
S01007136,216,216,-,-,216,185,16,15,192,17,2,-,4,1,-
S01007137,249,249,-,-,249,248,-,1,214,6,14,6,9,-,-
S01007138,250,250,-,-,250,243,-,7,144,52,25,22,6,-,1
S01007139,330,330,-,-,330,324,1,5,186,88,52,3,-,-,1
S01007140,415,415,-,-,415,405,4,6,282,107,22,1,-,2,1
S01007141,256,256,-,-,256,249,2,5,159,83,12,1,1,-,-
S01007142,153,153,-,-,153,153,-,-,143,6,2,2,-,-,-
S01007143,204,204,-,-,204,203,-,1,160,39,3,2,-,-,-
S01007144,257,257,-,-,257,240,-,17,152,79,21,1,-,2,2
S01007145,418,418,-,-,418,408,1,9,187,132,71,26,2,-,-
S01007146,337,337,-,-,337,334,-,3,74,178,48,33,4,-,-
S01007147,309,309,-,-,309,305,-,4,205,48,33,22,1,-,-
S01007148,207,207,-,-,207,204,-,3,137,45,22,2,-,1,-
S01007149,239,239,-,-,239,237,-,2,149,85,2,2,1,-,-
S01007150,358,358,-,-,358,350,-,8,145,110,7,93,3,-,-
S01007151,333,333,-,-,333,331,-,2,231,84,8,6,4,-,-
S01007152,242,242,-,-,242,237,-,5,94,90,17,37,4,-,-
S01007153,292,292,-,-,292,286,-,6,87,91,106,8,-,-,-
S01007154,458,458,-,-,458,453,-,5,57,81,13,288,12,6,1
S01007155,314,314,-,-,314,305,-,9,50,154,51,55,1,3,-
S01007156,317,317,-,-,317,308,-,9,141,80,91,3,2,-,-
S01007157,286,286,-,-,286,279,-,7,26,113,124,22,1,-,-
S01007158,388,388,-,-,388,386,-,2,141,151,75,18,1,2,-
S01007159,430,430,-,-,430,407,-,23,30,148,84,163,3,2,-
S01007160,381,381,-,-,381,377,-,4,56,164,133,22,1,5,-
S01007161,326,326,-,-,326,317,2,7,70,113,100,38,2,3,-
S01007162,291,291,-,-,291,271,8,12,22,48,30,173,11,7,-
S01007163,405,405,-,-,405,392,2,11,102,219,58,23,3,-,-
S01007164,267,267,-,-,267,257,-,10,79,86,58,28,11,5,-
S01007165,341,341,-,-,341,330,2,9,118,113,41,39,16,14,-
S01007166,337,337,-,-,337,328,2,7,81,161,58,27,10,-,-
S01007167,334,334,-,-,334,331,-,3,203,114,12,3,2,-,-
S01007168,419,419,-,-,419,415,-,4,230,183,4,2,-,-,-
S01007169,327,327,-,-,327,326,-,1,185,85,15,41,1,-,-
S01007170,280,280,-,-,280,268,1,11,200,62,3,5,6,-,4
S01007171,380,380,-,-,380,364,4,12,207,72,14,6,8,1,72
S01007172,353,353,-,-,353,333,8,12,258,45,25,4,3,1,17
S01007173,335,335,-,-,335,327,1,7,174,89,56,15,1,-,-
S01007174,292,292,-,-,292,286,2,4,136,69,77,7,2,-,1
S01007175,303,303,-,-,303,294,-,9,68,175,51,6,3,-,-
S01007176,296,296,-,-,296,290,-,6,63,116,57,59,1,-,-
S01007177,309,309,-,-,309,303,-,6,18,35,118,136,2,-,-
S01007178,515,515,-,-,515,505,-,10,34,64,169,243,5,-,-
S01007179,387,387,-,-,387,384,-,3,256,116,6,9,-,-,-
S01007180,359,359,-,-,359,347,-,12,230,78,8,40,3,-,-
S01007181,325,325,-,-,325,317,1,7,134,94,48,21,23,4,1
S01007182,537,537,-,-,537,526,1,10,84,123,73,229,25,2,1
S01007183,583,583,-,-,583,560,2,21,68,85,197,216,17,-,-
S01007184,636,636,-,-,636,594,-,42,40,52,148,344,33,19,-
S01007185,442,442,-,-,442,422,-,20,22,28,67,294,16,15,-
S01007186,348,348,-,-,348,327,5,16,8,30,61,212,21,16,-
S01007187,538,536,1,1,541,498,2,41,19,36,63,351,27,45,-
S01007188,375,375,-,-,375,328,11,36,9,17,98,230,14,7,-
S01007189,483,483,-,-,483,461,2,20,57,67,80,255,21,3,-
S01007190,389,389,-,-,389,378,2,9,110,204,55,18,1,1,-
S01007191,279,279,-,-,279,274,1,4,19,76,115,62,6,1,-
S01007192,293,293,-,-,293,286,-,7,27,56,93,116,-,1,-
S01007193,290,290,-,-,290,289,-,1,9,109,157,15,-,-,-
S01007194,285,285,-,-,285,276,-,9,5,70,67,141,2,-,-
S01007195,242,242,-,-,242,237,-,5,29,97,79,37,-,-,-
S01007196,294,294,-,-,294,278,-,16,20,97,70,105,1,1,-
S01007197,297,297,-,-,297,286,-,11,16,66,19,190,5,1,-
S01007198,236,236,-,-,236,229,-,7,17,65,14,133,6,1,-
S01007199,316,316,-,-,316,306,-,10,19,46,64,186,1,-,-
S01007200,407,407,-,-,407,405,-,2,15,41,259,92,-,-,-
S01007201,354,354,-,-,354,350,-,4,63,125,81,84,1,-,-
S01007202,354,354,-,-,354,350,-,4,41,52,170,86,5,-,-
S01007203,256,256,-,-,256,250,-,6,17,78,151,10,-,-,-
S01007204,448,448,-,-,448,426,6,16,207,120,102,16,3,-,-
S01007205,271,271,-,-,271,263,1,7,182,63,22,1,2,-,1
S01007206,241,241,-,-,241,212,16,13,26,45,74,84,12,-,-
S01007207,431,431,-,-,431,420,2,9,86,190,63,85,4,-,3
S01007208,594,594,-,-,594,550,3,41,23,36,71,393,59,12,-
S01007209,439,438,1,-,440,389,2,49,19,43,74,196,63,45,-
S01007210,400,400,-,-,400,387,-,13,24,35,71,238,30,2,-
S01007211,510,510,-,-,510,498,-,12,27,61,132,261,29,-,-
S01007212,269,269,-,-,269,259,2,8,58,45,55,102,9,-,-
S01007213,429,429,-,-,429,423,2,4,72,106,69,144,38,-,-
S01007214,441,441,-,-,441,424,1,16,17,34,50,292,25,23,-
S01007215,422,422,-,-,422,397,1,24,62,58,66,179,31,25,1
S01007216,328,328,-,-,328,315,3,10,134,78,34,63,15,4,-
S01007217,464,464,-,-,464,460,-,4,38,89,228,105,2,1,1
S01007218,358,358,-,-,358,353,3,2,231,40,77,6,1,-,3
S01007219,389,389,-,-,389,386,-,3,60,33,209,85,1,-,1
S01007220,332,332,-,-,332,330,-,2,16,53,166,94,3,-,-
S01007221,276,276,-,-,276,273,-,3,168,65,15,4,-,-,24
S01007222,326,326,-,-,326,320,-,6,116,110,89,9,1,1,-
S01007223,200,200,-,-,200,200,-,-,162,26,7,4,1,-,-
S01007224,286,286,-,-,286,279,-,7,113,71,72,25,2,2,1
S01007225,382,382,-,-,382,369,1,12,218,87,63,3,9,-,2
S01007226,340,340,-,-,340,322,2,16,236,62,27,9,2,-,4
S01007227,448,448,-,-,448,425,-,23,139,156,111,34,7,1,-
S01007228,276,276,-,-,276,260,3,13,182,80,8,5,1,-,-
S01007229,511,511,-,-,511,455,14,42,350,116,25,7,12,1,-
S01007230,391,391,-,-,391,358,-,33,22,93,54,214,4,1,3
S01007231,399,399,-,-,399,372,-,27,14,70,65,237,11,-,2
S01007232,401,401,-,-,401,381,-,20,30,54,80,212,15,8,2
S01007233,371,371,-,-,371,347,1,23,79,60,98,120,13,1,-
S01007234,269,269,-,-,269,263,1,5,38,142,41,31,12,4,1
S01007235,468,468,-,-,468,407,2,59,58,44,63,221,49,33,-
S01007236,321,320,1,-,322,305,-,17,42,105,69,75,22,9,-
S01007237,328,328,-,-,328,325,-,3,121,154,8,41,3,1,-
S01007238,422,422,-,-,422,417,-,5,89,108,151,73,-,1,-
S01007239,373,373,-,-,373,367,-,6,252,69,16,23,12,1,-
S01007240,247,247,-,-,247,233,1,13,176,54,9,4,4,-,-
S01007241,255,255,-,-,255,242,2,11,192,42,15,2,4,-,-
S01007242,459,459,-,-,459,447,1,11,268,94,67,29,1,-,-
S01007243,263,263,-,-,263,255,1,7,176,60,19,5,1,2,-
S01007244,322,322,-,-,322,303,3,16,241,50,24,6,-,1,-
S01007245,322,322,-,-,322,310,2,10,164,75,54,25,3,1,-
S01007246,250,250,-,-,250,237,-,13,125,77,46,1,1,-,-
S01007247,290,290,-,-,290,279,-,11,122,99,56,7,3,3,-
S01007248,318,318,-,-,318,310,-,8,237,61,11,7,2,-,-
S01007249,183,183,-,-,183,174,1,8,88,37,19,31,2,6,-
S01007250,452,452,-,-,452,432,-,20,70,96,78,187,10,11,-
S01007251,260,260,-,-,260,250,-,10,49,72,59,70,9,1,-
S01007252,326,326,-,-,326,315,-,11,82,128,53,57,6,-,-
S01007253,372,372,-,-,372,358,1,13,181,111,39,36,4,1,-
S01007254,413,413,-,-,413,401,1,11,45,106,68,186,7,1,-
S01007255,384,384,-,-,384,374,-,10,24,43,109,205,3,-,-
S01007256,448,448,-,-,448,407,-,41,36,69,85,201,12,45,-
S01007257,317,317,-,-,317,296,1,20,28,39,44,174,12,20,-
S01007258,428,428,-,-,428,410,1,17,106,71,67,158,19,7,-
S01007259,428,428,-,-,428,414,-,14,39,100,141,123,15,10,-
S01007260,424,424,-,-,424,418,-,6,18,96,207,103,-,-,-
S01007261,363,363,-,-,363,356,-,7,183,99,49,28,3,1,-
S01007262,310,310,-,-,310,301,2,7,10,123,128,49,-,-,-
S01007263,371,371,-,-,371,366,1,4,52,106,170,41,2,-,-
S01007264,341,341,-,-,341,339,-,2,79,114,92,55,1,-,-
S01007265,491,491,-,-,491,472,1,18,64,82,131,200,12,2,-
S01007266,316,316,-,-,316,305,-,11,85,85,95,36,12,3,-
S01007267,239,239,-,-,239,222,10,7,175,46,14,2,1,1,-
S01007268,271,271,-,-,271,249,11,11,190,57,17,5,-,1,1
S01007269,229,229,-,-,229,224,-,5,146,63,15,5,-,-,-
S01007270,217,217,-,-,217,205,5,7,132,62,20,2,1,-,-
S01007271,473,473,-,-,473,448,8,17,125,132,141,68,4,2,1
S01007272,423,423,-,-,423,417,-,6,21,87,74,240,1,-,-
S01007273,303,303,-,-,303,296,3,4,94,104,26,73,6,-,-
S01007274,484,484,-,-,484,456,4,24,77,82,109,159,20,37,-
S01007275,257,257,-,-,257,243,5,9,102,57,52,42,4,-,-
S01007276,372,372,-,-,372,369,1,2,158,74,70,67,3,-,-
S01007277,340,340,-,-,340,327,3,10,228,96,11,3,-,2,-
S01007278,233,233,-,-,233,227,-,6,175,53,2,3,-,-,-
S01007279,316,316,-,-,316,240,63,13,286,21,2,5,1,-,1
S01007280,286,286,-,-,286,237,27,22,214,61,7,4,-,-,-
S01007281,387,387,-,-,387,361,8,18,234,117,15,10,7,-,4
S01007282,253,253,-,-,253,228,18,7,197,40,8,5,2,1,-
S01007283,511,511,-,-,511,482,12,17,243,123,93,44,7,-,1
S01007284,632,632,-,-,632,403,215,14,470,121,24,8,4,3,2
S01007285,500,500,-,-,500,358,135,7,346,111,21,3,6,4,9
