,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01006603,385,154,123,48,38,14,5,1,2
S01006604,291,80,106,58,37,7,1,0,2
S01006605,409,179,124,63,31,10,2,0,0
S01006606,390,135,151,53,35,14,2,0,0
S01006607,385,104,124,80,53,19,2,3,0
S01006608,284,57,109,51,41,19,6,0,1
S01006609,490,159,179,86,51,10,2,2,1
S01006610,212,73,70,44,22,2,1,0,0
S01006611,425,135,168,62,43,12,5,0,0
S01006612,373,100,139,69,50,14,1,0,0
S01006613,259,68,97,43,38,10,2,1,0
S01006614,265,54,84,63,53,11,0,0,0
S01006615,270,21,91,63,78,10,7,0,0
S01006616,337,86,118,75,49,9,0,0,0
S01006617,297,89,101,56,39,8,2,2,0
S01006618,246,75,109,30,29,3,0,0,0
S01006619,372,85,150,74,47,12,2,2,0
S01006620,390,120,152,61,45,11,1,0,0
S01006621,235,64,101,35,26,9,0,0,0
S01006622,292,91,97,43,53,5,3,0,0
S01006623,359,165,98,56,27,10,3,0,0
S01006624,481,275,130,45,24,5,1,0,1
S01006625,288,92,110,43,33,10,0,0,0
S01006626,377,159,130,61,20,6,1,0,0
S01006627,511,289,141,57,19,5,0,0,0
S01006628,635,340,184,70,30,7,4,0,0
S01006629,315,96,105,59,39,14,0,1,1
S01006630,256,74,83,46,31,12,7,1,2
S01006631,493,246,141,61,33,11,1,0,0
S01006632,423,191,130,61,29,10,2,0,0
S01006633,288,101,78,40,37,23,5,3,1
S01006634,291,121,73,51,27,11,5,3,0
S01006635,289,96,88,55,33,13,4,0,0
S01006636,386,145,106,61,46,23,4,1,0
S01006637,413,223,125,38,16,11,0,0,0
S01006638,504,271,173,37,14,4,5,0,0
S01006639,592,343,183,34,26,6,0,0,0
S01006640,376,145,152,53,19,3,4,0,0
S01006641,602,307,228,37,24,6,0,0,0
S01006642,492,242,176,61,12,1,0,0,0
S01006643,419,172,194,42,11,0,0,0,0
S01006644,553,241,231,66,13,2,0,0,0
S01006645,393,200,120,50,19,3,1,0,0
S01006646,340,185,120,20,12,2,0,1,0
S01006647,341,145,123,44,22,5,2,0,0
S01006648,651,351,219,50,18,11,2,0,0
S01006649,583,300,216,47,14,4,2,0,0
S01006650,481,242,159,43,20,12,5,0,0
S01006651,382,198,133,37,10,4,0,0,0
S01006652,308,128,144,22,9,3,2,0,0
S01006653,296,113,121,43,15,4,0,0,0
S01006654,504,232,182,59,24,7,0,0,0
S01006655,334,151,113,44,18,5,3,0,0
S01006656,524,242,188,53,31,8,1,1,0
S01006657,286,120,107,42,11,4,2,0,0
S01006658,525,236,166,68,34,17,3,0,1
S01006659,287,93,88,68,33,3,2,0,0
S01006660,247,109,76,24,14,14,4,5,1
S01006661,301,107,117,45,23,2,6,0,1
S01006662,285,117,80,45,29,12,2,0,0
S01006663,245,77,84,37,33,10,4,0,0
S01006664,237,76,99,34,15,11,2,0,0
S01006665,316,145,116,25,21,6,3,0,0
S01006666,499,262,137,68,24,7,1,0,0
S01006667,447,250,123,57,15,2,0,0,0
S01006668,413,187,164,45,13,3,1,0,0
S01006669,444,249,137,38,12,3,5,0,0
S01006670,347,185,144,15,3,0,0,0,0
S01006671,233,82,99,31,13,8,0,0,0
S01006672,366,143,120,67,17,15,3,1,0
S01006673,367,155,118,58,27,8,1,0,0
S01006674,544,300,151,56,30,4,3,0,0
S01006675,315,111,79,69,46,8,2,0,0
S01006676,358,151,101,58,26,16,6,0,0
S01006677,398,196,115,59,22,4,2,0,0
S01006678,525,186,156,110,55,11,5,1,1
S01006679,315,102,132,48,26,4,2,0,1
S01006680,416,178,101,90,38,7,0,2,0
S01006681,464,285,114,46,13,5,1,0,0
S01006682,384,154,90,81,31,18,9,0,1
S01006683,370,125,113,59,38,24,6,4,1
S01006684,401,214,119,47,15,5,1,0,0
S01006685,427,233,111,52,27,3,1,0,0
S01006686,305,116,100,59,22,7,1,0,0
S01006687,419,146,165,83,17,8,0,0,0
S01006688,510,225,183,62,32,5,3,0,0
S01006689,288,79,121,55,24,7,2,0,0
S01006690,308,120,118,47,19,3,1,0,0
S01006691,271,98,103,37,23,8,2,0,0
S01006692,361,127,146,50,28,6,2,2,0
S01006693,497,201,169,72,37,11,6,1,0
S01006694,480,223,169,57,25,3,3,0,0
S01006695,346,131,130,43,25,14,0,2,1
S01006696,390,147,125,52,43,17,3,3,0
S01006697,435,148,157,77,35,16,1,1,0
S01006698,409,224,119,41,19,6,0,0,0
S01006699,209,55,92,28,24,8,2,0,0
S01006700,431,176,165,50,27,12,1,0,0
S01006701,321,99,101,74,32,14,0,1,0
S01006702,332,90,128,59,40,12,3,0,0
S01006703,301,107,85,54,41,13,0,1,0
S01006704,301,123,96,48,25,8,1,0,0
S01006705,364,148,123,43,38,10,1,0,1
