,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01009751,355,123,126,45,42,14,5,0,0
S01009752,260,71,106,32,39,11,1,0,0
S01009753,333,130,114,35,41,11,2,0,0
S01009754,383,138,146,46,37,9,6,1,0
S01009755,281,76,105,41,44,15,0,0,0
S01009756,320,80,134,47,50,6,1,1,1
S01009757,271,48,130,39,34,16,4,0,0
S01009758,242,82,82,32,29,13,4,0,0
S01009759,417,145,122,86,45,14,5,0,0
S01009760,407,138,143,63,40,18,5,0,0
S01009761,377,106,136,55,46,24,7,3,0
S01009762,416,155,108,81,57,12,2,1,0
S01009763,264,52,68,49,57,25,9,3,1
S01009764,291,109,65,52,48,15,2,0,0
S01009765,382,118,92,75,62,22,8,3,2
S01009766,231,57,76,51,38,6,2,1,0
S01009767,227,86,62,40,24,11,2,1,1
S01009768,279,96,87,56,32,4,4,0,0
S01009769,249,59,90,52,35,10,1,1,1
S01009770,257,47,86,52,40,25,3,2,2
S01009771,294,52,77,49,70,35,5,3,3
S01009772,271,87,77,49,46,9,3,0,0
S01009773,179,13,37,34,57,25,8,3,2
S01009774,151,6,23,42,41,23,10,4,2
S01009775,359,135,98,63,44,13,6,0,0
S01009776,307,112,90,64,30,11,0,0,0
S01009777,266,137,73,34,16,4,1,1,0
S01009778,415,183,133,47,32,17,2,1,0
S01009779,290,133,94,34,19,9,0,1,0
S01009780,219,45,67,44,33,21,6,1,2
S01009781,224,61,70,46,31,11,5,0,0
S01009782,200,32,58,57,32,18,2,1,0
S01009783,310,87,98,62,47,12,4,0,0
S01009784,309,102,75,60,47,21,4,0,0
S01009785,339,101,102,71,47,14,3,1,0
S01009786,425,176,117,55,40,34,2,0,1
S01009787,366,110,125,58,41,24,7,1,0
S01009788,404,166,127,55,39,12,4,1,0
S01009789,399,138,126,65,44,22,3,1,0
S01009790,259,80,82,37,38,16,4,1,1
S01009791,281,90,85,48,43,9,3,2,1
S01009792,323,55,92,57,75,31,7,0,6
S01009793,416,151,150,55,41,14,2,2,1
S01009794,199,41,59,50,39,9,1,0,0
S01009795,287,42,79,71,62,22,9,1,1
S01009796,310,88,103,49,46,15,5,0,4
S01009797,306,75,101,47,64,15,2,1,1
S01009798,255,43,69,57,69,13,3,0,1
S01009799,363,139,89,63,44,21,5,1,1
S01009800,424,92,136,91,70,27,5,1,2
S01009801,344,93,97,64,57,20,8,2,3
S01009802,431,133,138,71,59,22,5,2,1
S01009803,371,157,93,59,34,24,3,1,0
S01009804,208,90,72,34,11,1,0,0,0
S01009805,374,104,105,68,60,27,8,1,1
S01009806,446,229,121,48,35,9,2,1,1
S01009807,461,173,132,72,67,15,2,0,0
S01009808,428,189,99,75,50,13,2,0,0
S01009809,338,137,106,51,39,3,2,0,0
S01009810,453,226,121,59,32,12,1,1,1
S01009811,520,221,168,66,42,16,6,0,1
S01009812,376,164,121,48,28,12,1,1,1
S01009813,335,164,54,42,33,24,10,6,2
S01009814,362,132,93,66,43,20,4,4,0
S01009815,346,140,109,53,31,11,1,0,1
S01009816,326,110,115,54,36,8,2,1,0
S01009817,343,158,85,52,40,4,2,2,0
S01009818,421,130,169,56,46,17,2,0,1
S01009819,306,134,96,34,31,8,1,0,2
S01009820,445,186,119,58,56,22,2,2,0
S01009821,255,63,74,56,39,18,4,0,1
S01009822,191,48,65,30,32,14,1,1,0
S01009823,306,112,76,73,32,10,2,1,0
S01009824,365,103,116,69,43,29,4,0,1
S01009825,449,169,124,71,57,24,2,1,1
S01009826,228,61,72,46,19,20,7,3,0
S01009827,367,131,104,54,45,27,5,0,1
S01009828,394,195,102,53,25,12,3,3,1
S01009829,512,239,159,61,39,13,1,0,0
S01009830,329,87,120,66,37,17,2,0,0
S01009831,313,77,93,74,52,16,1,0,0
S01009832,474,189,138,77,52,13,3,0,2
S01009833,238,78,89,31,26,12,2,0,0
S01009834,372,128,106,73,46,16,3,0,0
S01009835,258,106,70,58,15,8,1,0,0
S01009836,414,128,131,90,43,16,3,3,0
S01009837,368,187,109,47,19,6,0,0,0
S01009838,433,233,124,41,25,8,1,1,0
S01009839,615,385,137,65,24,2,0,2,0
S01009840,475,205,143,63,41,18,4,1,0
S01009841,461,276,105,56,17,6,0,1,0
S01009842,332,155,86,47,31,9,3,1,0
S01009843,310,153,70,40,24,16,4,0,3
S01009844,361,247,60,30,13,6,3,1,1
S01009845,440,252,116,41,22,7,0,2,0
S01009846,461,219,140,61,31,5,4,1,0
S01009847,322,150,105,49,15,3,0,0,0
S01009848,383,133,121,64,34,26,2,3,0
S01009849,445,239,145,42,16,3,0,0,0
S01009850,472,236,141,44,36,8,5,1,1
S01009851,470,243,145,43,34,4,1,0,0
S01009852,257,97,68,38,30,17,4,1,2
S01009853,413,165,122,65,43,11,5,1,1
S01009854,398,149,111,58,57,18,2,3,0
S01009855,250,87,69,53,25,12,3,0,1
S01009856,308,139,81,45,30,9,1,1,2
S01009857,374,109,118,66,53,20,6,0,2
S01009858,337,118,110,49,44,13,2,0,1
S01009859,580,323,142,62,34,13,3,0,3
S01009860,503,263,141,51,29,13,3,2,1
S01009861,524,257,142,65,32,18,5,3,2
S01009862,607,365,143,62,25,9,2,0,1
S01009863,461,255,127,53,13,10,1,2,0
S01009864,317,157,103,27,11,11,5,3,0
S01009865,245,135,62,19,19,5,4,1,0
S01009866,455,198,156,50,38,9,3,1,0
S01009867,595,313,203,52,19,7,0,0,1
S01009868,308,116,117,41,18,7,5,2,2
S01009869,269,121,80,37,21,7,2,1,0
S01009870,274,111,83,36,18,18,5,2,1
S01009871,587,362,140,37,27,12,5,2,2
S01009872,365,174,111,31,18,25,4,2,0
S01009873,445,219,118,45,32,14,8,4,5
S01009874,497,211,150,60,45,21,6,1,3
S01009875,307,128,85,34,25,17,9,5,4
S01009876,322,139,58,57,41,24,2,1,0
S01009877,360,132,106,47,40,13,9,3,10
S01009878,252,85,57,31,29,24,12,8,6
S01009879,332,77,116,48,52,24,7,3,5
S01009880,258,72,57,34,33,29,18,11,4
S01009881,179,55,46,21,12,20,14,4,7
S01009882,613,292,230,47,26,16,2,0,0
S01009883,280,65,78,41,37,39,9,7,4
S01009884,316,96,96,48,32,23,12,5,4
S01009885,251,42,57,47,37,28,16,13,11
S01009886,277,103,53,34,20,28,15,12,12
S01009887,490,274,87,45,48,24,7,2,3
S01009888,280,112,62,32,24,24,13,11,2
S01009889,370,169,100,41,22,19,10,4,5
S01009890,278,143,64,34,26,10,0,0,1
S01009891,430,254,107,33,20,10,6,0,0
S01009892,468,273,122,41,23,7,1,0,1
S01009893,420,229,97,29,26,24,7,5,3
S01009894,476,261,135,43,25,10,1,1,0
S01009895,408,248,81,31,32,12,2,2,0
S01009896,470,224,121,52,42,21,6,4,0
S01009897,497,244,150,49,30,17,5,2,0
S01009898,259,86,81,49,17,15,8,1,2
S01009899,464,255,148,35,15,8,1,2,0
S01009900,499,254,188,35,16,6,0,0,0
S01009901,456,199,163,49,39,3,1,1,1
S01009902,495,265,127,52,31,14,4,1,1
S01009903,272,80,78,25,33,23,11,8,14
S01009904,456,245,145,40,15,6,1,1,3
S01009905,372,181,92,46,32,11,9,0,1
S01009906,331,137,118,32,28,12,2,2,0
S01009907,592,451,107,24,8,2,0,0,0
S01009908,492,198,164,56,41,31,1,0,1
S01009909,471,241,155,44,24,3,1,3,0
S01009910,278,128,91,31,16,7,5,0,0
S01009911,415,142,132,61,54,21,3,1,1
S01009912,365,137,110,43,34,21,6,5,9
S01009913,232,45,65,43,30,28,13,3,5
S01009914,408,133,148,50,39,21,11,1,5
S01009915,402,161,132,54,25,17,6,4,3
S01009916,315,69,90,41,43,30,17,18,7
S01009917,331,133,105,40,31,14,6,0,2
S01009918,277,64,117,26,40,20,4,2,4
S01009919,587,264,208,64,30,20,0,1,0
S01009920,519,265,209,34,9,2,0,0,0
S01009921,398,221,139,29,5,3,1,0,0
S01009922,619,335,211,48,15,6,3,1,0
S01009923,566,381,127,29,21,5,2,0,1
S01009924,581,311,186,43,18,17,5,0,1
S01009925,408,222,151,20,7,5,1,1,1
S01009926,375,150,135,47,22,11,4,4,2
S01009927,278,135,86,31,20,5,1,0,0
S01009928,429,204,134,55,25,9,1,0,1
S01009929,234,80,86,36,26,3,2,0,1
S01009930,460,203,171,58,18,5,2,2,1
S01009931,463,244,178,23,12,4,0,2,0
S01009932,374,183,148,35,6,1,1,0,0
S01009933,534,306,133,55,30,8,2,0,0
S01009934,436,165,145,65,38,17,5,1,0
S01009935,386,274,76,28,6,2,0,0,0
S01009936,397,262,95,18,12,4,1,1,4
S01009937,266,139,51,36,25,8,7,0,0
S01009938,570,344,139,51,22,9,5,0,0
S01009939,521,314,104,53,33,14,3,0,0
S01009940,438,203,122,76,26,8,3,0,0
S01009941,320,45,73,67,67,44,16,7,1
S01009942,486,211,131,70,42,24,5,3,0
S01009943,424,172,141,67,35,8,1,0,0
S01009944,344,121,92,61,49,17,2,0,2
S01009945,500,229,137,88,35,10,1,0,0
S01009946,348,110,106,67,41,18,4,2,0
S01009947,266,103,85,37,25,13,3,0,0
S01009948,431,224,93,70,29,14,1,0,0
S01009949,368,137,100,69,38,19,5,0,0
S01009950,256,45,86,40,51,24,5,4,1
S01009951,259,40,86,48,50,20,6,5,4
S01009952,311,97,98,55,38,16,6,1,0
S01009953,358,96,122,60,52,20,3,2,3
S01009954,214,47,63,35,33,18,6,6,6
S01009955,447,199,120,54,43,18,8,3,2
S01009956,324,110,96,59,39,15,1,3,1
S01009957,294,68,95,56,52,18,3,1,1
S01009958,371,79,143,74,56,12,5,2,0
S01009959,288,100,99,29,42,12,3,0,3
S01009960,395,155,102,53,56,21,5,2,1
S01009961,293,99,92,40,44,14,3,1,0
S01009962,599,332,181,55,23,8,0,0,0
S01009963,301,64,98,51,57,26,4,1,0
S01009964,344,79,107,64,62,21,2,4,5
S01009965,298,82,108,47,37,18,4,0,2
S01009966,292,46,107,65,55,13,6,0,0
S01009967,383,148,128,54,33,17,3,0,0
S01009968,232,50,72,54,33,19,3,1,0
S01009969,364,117,117,52,48,24,4,2,0
S01009970,476,222,124,72,37,16,3,2,0
S01009971,488,167,145,96,55,23,1,1,0
S01009972,364,124,118,60,42,14,6,0,0
S01009973,283,58,94,58,61,11,1,0,0
S01009974,294,110,99,47,26,11,0,1,0
S01009975,398,191,91,68,26,14,7,1,0
S01009976,255,120,66,49,12,5,3,0,0
S01009977,555,337,125,50,32,7,2,2,0
S01009978,444,156,122,78,61,22,4,1,0
S01009979,258,127,68,40,17,6,0,0,0
S01009980,250,84,79,42,30,11,4,0,0
S01009981,303,117,72,56,32,21,3,2,0
S01009982,428,119,132,92,59,21,5,0,0
S01009983,289,138,79,31,26,8,3,4,0
S01009984,350,143,81,69,48,8,1,0,0
S01009985,270,107,70,35,41,11,2,4,0
S01009986,280,115,93,52,9,7,4,0,0
S01009987,472,240,120,64,35,11,1,1,0
S01009988,270,120,98,36,12,1,2,0,1
S01009989,354,112,123,60,36,19,2,2,0
S01009990,302,87,117,54,32,10,2,0,0
S01009991,333,95,91,84,45,17,1,0,0
S01009992,330,126,107,52,29,13,3,0,0
S01009993,349,90,121,76,46,14,2,0,0
S01009994,302,88,87,64,47,15,0,0,1
S01009995,269,59,98,63,39,8,1,1,0
S01009996,310,81,101,77,37,8,3,2,1
S01009997,251,75,90,43,28,11,4,0,0
S01009998,246,63,87,34,30,21,9,0,2
S01009999,285,63,101,53,38,24,5,1,0
S01010000,269,76,96,55,30,10,1,1,0
S01010001,332,88,112,64,53,9,5,1,0
S01010002,336,96,122,53,50,12,2,0,1
S01010003,279,63,99,44,53,16,3,0,1
S01010004,273,62,94,42,42,17,11,5,0
S01010005,488,321,110,31,18,7,0,1,0
S01010006,586,384,146,33,17,5,1,0,0
S01010007,429,162,122,54,71,16,1,3,0
S01010008,410,265,94,41,8,2,0,0,0
S01010009,416,310,84,15,5,1,0,1,0
S01010010,451,152,153,54,57,23,8,2,2
S01010011,544,387,133,20,3,1,0,0,0
S01010012,348,101,115,55,47,24,5,0,1
S01010013,457,249,142,30,25,9,1,1,0
S01010014,523,254,157,52,31,21,7,0,1
S01010015,392,149,159,44,22,10,4,3,1
S01010016,325,130,81,56,38,15,2,1,2
S01010017,339,125,105,55,30,18,4,2,0
S01010018,525,268,161,47,35,11,2,1,0
S01010019,409,215,116,46,23,7,1,1,0
S01010020,346,144,99,48,29,21,2,2,1
S01010021,400,206,86,48,33,20,3,1,3
S01010022,468,202,131,71,48,11,4,0,1
S01010023,387,227,97,40,18,3,2,0,0
S01010024,402,215,108,41,27,10,1,0,0
S01010025,316,182,77,37,13,7,0,0,0
S01010026,492,241,155,67,22,6,1,0,0
S01010027,483,239,141,61,24,10,3,4,1
S01010028,381,204,127,26,17,7,0,0,0
S01010029,398,228,106,35,23,5,1,0,0
S01010030,429,190,153,50,24,4,3,5,0
S01010031,423,214,156,47,5,1,0,0,0
S01010032,298,136,122,26,11,2,1,0,0
S01010033,503,279,131,43,25,20,2,2,1
S01010034,498,265,157,47,16,11,1,1,0
S01010035,401,228,106,33,25,7,2,0,0
S01010036,423,150,200,52,16,4,1,0,0
S01010037,376,201,113,39,17,6,0,0,0
S01010038,568,286,179,75,22,4,1,1,0
S01010039,593,287,265,37,3,1,0,0,0
S01010040,415,199,160,32,15,7,0,1,1
S01010041,451,289,136,20,4,1,0,1,0
S01010042,621,284,238,69,22,8,0,0,0
S01010043,451,251,114,54,31,1,0,0,0
S01010044,649,349,193,72,29,4,1,1,0
S01010045,258,114,60,39,33,8,3,0,1
S01010046,431,224,138,43,20,4,0,0,2
S01010047,471,265,122,46,23,4,8,3,0
S01010048,551,308,139,62,32,10,0,0,0
S01010049,395,184,92,68,26,22,2,0,1
S01010050,540,268,173,59,26,8,4,0,2
S01010051,431,257,111,44,12,6,0,0,1
S01010052,372,219,83,48,16,2,4,0,0
S01010053,384,134,123,69,35,14,5,2,2
S01010054,248,76,80,54,21,13,3,0,1
S01010055,457,194,129,74,32,22,6,0,0
S01010056,214,95,53,33,17,14,1,1,0
S01010057,216,103,63,28,17,4,1,0,0
S01010058,355,121,118,66,33,13,2,1,1
S01010059,371,209,110,36,13,3,0,0,0
S01010060,493,259,121,68,32,10,3,0,0
S01010061,253,96,85,48,21,2,1,0,0
S01010062,344,112,129,52,38,8,3,2,0
S01010063,546,303,148,64,22,8,1,0,0
S01010064,264,107,81,40,28,5,3,0,0
S01010065,413,182,113,64,36,14,3,1,0
S01010066,342,118,105,64,44,9,2,0,0
S01010067,297,122,89,52,24,6,2,2,0
S01010068,338,169,94,38,23,8,4,2,0
S01010069,340,93,106,70,53,12,4,1,1
S01010070,238,34,69,68,49,15,3,0,0
S01010071,367,137,123,47,40,16,3,0,1
S01010072,370,135,116,64,42,10,2,1,0
S01010073,349,105,121,69,45,8,1,0,0
S01010074,306,91,110,49,44,6,4,1,1
S01010075,303,105,116,52,23,5,1,0,1
S01010076,276,62,98,61,37,13,3,2,0
