,All households,+2 or more,1,0	,-1,-2 or less
S01006957,387,298,61,22,6,0
S01006958,435,262,115,51,5,2
S01006959,347,101,91,111,36,8
S01006960,318,260,24,27,6,1
S01006961,321,259,50,8,3,1
S01006962,409,179,140,78,10,2
S01006963,275,174,71,27,3,0
S01006964,348,110,142,76,15,5
S01006965,216,115,38,51,12,0
S01006966,253,99,58,84,10,2
S01006967,237,154,47,27,9,0
S01006968,224,80,80,53,11,0
S01006969,412,154,108,131,15,4
S01006970,258,203,29,22,3,1
S01006971,248,84,71,80,11,2
S01006972,192,143,35,8,6,0
S01006973,234,152,48,29,5,0
S01006974,393,271,80,34,6,2
S01006975,386,268,68,42,8,0
S01006976,172,132,21,11,6,2
S01006977,316,218,65,23,8,2
S01006978,371,248,63,46,12,2
S01006979,369,205,75,75,10,4
S01006980,326,230,58,28,7,3
S01006981,321,207,59,43,10,2
S01006982,359,193,89,60,15,2
S01006983,289,186,65,34,4,0
S01006984,275,200,41,25,9,0
S01006985,432,229,96,89,15,3
S01006986,243,157,30,44,9,3
S01006987,294,150,70,58,14,2
S01006988,218,149,31,29,9,0
S01006989,375,307,42,20,6,0
S01006990,313,254,33,20,5,1
S01006991,216,87,53,66,7,3
S01006992,241,190,36,9,5,1
S01006993,202,147,25,22,8,0
S01006994,226,183,28,11,4,0
S01006995,331,249,48,27,5,2
S01006996,306,168,63,61,10,4
S01006997,292,222,44,22,2,2
S01006998,450,307,83,54,4,2
S01006999,334,241,60,26,6,1
S01007000,414,232,80,88,11,3
S01007001,388,245,70,63,10,0
S01007002,230,130,56,36,8,0
S01007003,205,145,35,17,5,3
S01007004,304,222,51,25,5,1
S01007005,348,278,44,23,2,1
S01007006,394,229,89,57,14,5
S01007007,338,218,65,46,8,1
S01007008,450,179,129,110,24,8
S01007009,496,229,111,120,27,9
S01007010,392,208,65,105,10,4
S01007011,463,121,125,186,27,4
S01007012,322,62,115,121,17,7
S01007013,222,178,30,12,1,1
S01007014,381,282,77,16,5,1
S01007015,247,171,47,29,0,0
S01007016,213,157,37,12,4,3
S01007017,476,155,130,162,25,4
S01007018,421,235,100,61,20,5
S01007019,309,127,77,80,15,10
S01007020,411,148,112,121,25,5
S01007021,403,199,121,63,19,1
S01007022,209,106,35,60,8,0
S01007023,203,131,42,22,6,2
S01007024,416,282,84,38,8,4
S01007025,389,151,138,84,14,2
S01007026,412,240,76,82,13,1
S01007027,481,256,104,94,20,7
S01007028,315,221,63,21,6,4
S01007029,221,164,36,14,4,3
S01007030,338,162,87,77,10,2
S01007031,285,136,48,88,12,1
S01007032,507,197,116,165,18,11
S01007033,338,140,95,90,11,2
S01007034,266,135,56,58,16,1
S01007035,375,103,142,103,20,7
S01007036,401,235,72,83,10,1
S01007037,453,161,140,123,27,2
S01007038,328,142,88,72,19,7
S01007039,368,178,85,87,14,4
S01007040,301,118,83,71,24,5
S01007041,344,176,76,77,15,0
S01007042,318,169,77,51,17,4
S01007043,382,291,58,27,6,0
S01007044,306,183,70,46,6,1
S01007045,325,246,55,15,5,4
S01007046,259,161,59,31,7,1
S01007047,261,190,48,14,3,6
S01007048,359,248,62,38,9,2
S01007049,415,170,127,91,24,3
S01007050,295,154,70,59,11,1
S01007051,332,173,70,72,14,3
S01007052,233,135,64,26,8,0
S01007053,191,154,20,12,5,0
S01007054,434,189,113,117,14,1
S01007055,196,143,34,16,1,2
S01007056,221,164,30,16,7,4
S01007057,247,131,69,40,6,1
S01007058,288,124,74,80,8,2
S01007059,433,224,105,81,19,4
S01007060,231,90,68,54,14,5
S01007061,346,258,59,22,7,0
S01007062,272,209,44,19,0,0
S01007063,282,177,59,42,3,1
S01007064,253,175,38,35,4,1
S01007065,249,162,49,31,3,4
S01007066,252,186,38,22,5,1
S01007067,254,123,84,34,11,2
S01007068,329,168,59,85,11,6
S01007069,338,166,81,74,15,2
S01007070,247,98,54,77,15,3
S01007071,356,167,88,80,15,6
S01007072,246,153,60,26,5,2
S01007073,358,254,71,28,2,3
S01007074,292,149,81,54,7,1
S01007075,305,80,97,102,22,4
S01007076,289,146,85,39,13,6
S01007077,311,135,86,79,7,4
S01007078,398,149,135,89,24,1
S01007079,522,161,150,168,36,7
S01007080,386,149,120,101,14,2
S01007081,370,121,117,94,32,6
S01007082,233,71,77,57,21,7
S01007083,451,69,166,173,30,13
S01007084,273,118,90,51,12,2
S01007085,366,142,111,72,30,11
S01007086,573,87,156,244,63,23
S01007087,439,97,117,152,56,17
S01007088,247,48,104,61,27,7
S01007089,217,145,53,12,5,2
S01007090,243,86,95,53,5,4
S01007091,280,90,87,86,15,2
S01007092,307,75,96,115,15,6
S01007093,417,206,125,63,14,9
S01007094,354,259,53,32,9,1
S01007095,209,159,30,15,5,0
S01007096,316,208,47,48,12,1
S01007097,188,148,22,16,0,2
S01007098,288,243,30,9,5,1
S01007099,338,223,62,42,9,2
S01007100,298,189,64,36,8,1
S01007101,342,104,91,125,19,3
S01007102,260,188,44,23,3,2
S01007103,330,190,72,53,13,2
S01007104,197,143,33,14,4,3
S01007105,238,133,50,46,6,3
S01007106,319,157,76,71,13,2
S01007107,256,198,33,18,6,1
S01007108,226,174,29,19,4,0
S01007109,371,114,130,98,25,4
S01007110,324,130,91,84,14,5
S01007111,225,108,71,33,10,3
S01007112,214,165,29,15,5,0
S01007113,231,165,43,19,4,0
S01007114,378,183,117,60,16,2
S01007115,257,172,41,37,6,1
S01007116,315,243,54,14,3,1
S01007117,177,140,25,5,5,2
S01007118,282,42,101,106,27,6
S01007119,330,100,93,106,24,7
S01007120,483,120,157,170,27,9
S01007121,294,54,48,152,31,9
S01007122,287,125,57,82,16,7
S01007123,313,89,138,73,9,4
S01007124,380,140,126,88,18,8
S01007125,351,122,114,90,20,5
S01007126,399,77,116,145,53,8
S01007127,446,103,93,155,72,23
S01007128,411,75,145,148,38,5
S01007129,374,292,53,25,3,1
S01007130,280,124,85,51,15,5
S01007131,341,199,67,64,8,3
S01007132,297,185,70,30,9,3
S01007133,262,188,44,21,7,2
S01007134,317,188,68,48,8,5
S01007135,221,166,30,20,3,2
S01007136,185,166,15,3,1,0
S01007137,248,213,12,18,5,0
S01007138,243,156,48,34,5,0
S01007139,324,183,85,47,9,0
S01007140,405,260,106,33,5,1
S01007141,249,174,45,25,3,2
S01007142,153,133,13,6,1,0
S01007143,203,152,38,11,2,0
S01007144,240,141,57,31,7,4
S01007145,408,225,107,65,8,3
S01007146,334,169,111,43,10,1
S01007147,305,164,92,42,6,1
S01007148,204,131,52,16,5,0
S01007149,237,142,73,14,4,4
S01007150,350,212,96,37,4,1
S01007151,331,207,83,32,5,4
S01007152,237,148,47,38,4,0
S01007153,286,161,71,41,13,0
S01007154,453,104,148,160,38,3
S01007155,305,142,79,73,10,1
S01007156,308,132,93,69,12,2
S01007157,279,85,97,72,22,3
S01007158,386,180,119,69,16,2
S01007159,407,79,143,133,46,6
S01007160,377,123,96,116,34,8
S01007161,317,143,89,70,14,1
S01007162,271,60,88,92,27,4
S01007163,392,211,109,51,16,5
S01007164,257,141,54,53,9,0
S01007165,330,228,53,34,12,3
S01007166,328,162,90,60,15,1
S01007167,331,254,53,22,2,0
S01007168,415,296,95,22,2,0
S01007169,326,186,72,61,6,1
S01007170,268,188,50,22,6,2
S01007171,364,203,82,52,21,6
S01007172,333,247,52,28,5,1
S01007173,327,182,93,44,6,2
S01007174,286,148,79,45,13,1
S01007175,294,140,91,53,8,2
S01007176,290,133,78,71,7,1
S01007177,303,54,106,121,19,3
S01007178,505,97,124,235,38,11
S01007179,384,278,75,25,6,0
S01007180,347,238,58,44,4,3
S01007181,317,215,48,45,9,0
S01007182,526,223,150,128,20,5
S01007183,560,162,188,165,35,10
S01007184,594,134,160,248,47,5
S01007185,422,89,102,196,26,9
S01007186,327,49,67,170,34,7
S01007187,498,96,115,208,63,16
S01007188,328,87,97,107,32,5
S01007189,461,131,73,197,56,4
S01007190,378,193,92,79,12,2
S01007191,274,83,73,83,31,4
S01007192,286,71,90,85,31,9
S01007193,289,94,114,61,19,1
S01007194,276,55,79,105,28,9
S01007195,237,68,85,66,15,3
S01007196,278,73,93,88,18,6
S01007197,286,32,76,145,29,4
S01007198,229,57,74,70,24,4
S01007199,306,77,89,105,31,4
S01007200,405,119,132,133,17,4
S01007201,350,141,98,98,8,5
S01007202,350,114,120,89,22,5
S01007203,250,108,73,54,13,2
S01007204,426,226,110,73,13,4
S01007205,263,179,49,26,7,2
S01007206,212,51,88,56,15,2
S01007207,420,201,119,75,21,4
S01007208,550,104,166,230,44,6
S01007209,389,123,114,110,36,6
S01007210,387,100,78,154,47,8
S01007211,498,126,142,183,43,4
S01007212,259,111,76,60,10,2
S01007213,423,207,107,78,25,6
S01007214,424,74,113,188,37,12
S01007215,397,126,81,133,45,12
S01007216,315,179,68,51,14,3
S01007217,460,113,159,164,21,3
S01007218,353,238,71,39,3,2
S01007219,386,114,112,128,29,3
S01007220,330,102,75,111,26,16
S01007221,273,166,66,29,3,9
S01007222,320,136,95,70,17,2
S01007223,200,147,36,13,2,2
S01007224,279,132,65,74,6,2
S01007225,369,234,81,45,7,2
S01007226,322,211,62,39,10,0
S01007227,425,223,105,73,17,7
S01007228,260,168,64,23,4,1
S01007229,455,301,86,59,6,3
S01007230,358,69,101,159,21,8
S01007231,372,71,93,155,44,9
S01007232,381,53,121,168,31,8
S01007233,347,151,77,96,16,7
S01007234,263,133,57,52,17,4
S01007235,407,130,104,131,36,6
S01007236,305,114,114,56,18,3
S01007237,325,172,81,59,10,3
S01007238,417,168,107,127,14,1
S01007239,367,277,56,27,7,0
S01007240,233,149,49,25,5,5
S01007241,242,170,49,20,1,2
S01007242,447,257,102,79,6,3
S01007243,255,166,55,26,5,3
S01007244,303,206,57,28,9,3
S01007245,310,164,59,69,15,3
S01007246,237,133,58,39,7,0
S01007247,279,137,90,40,9,3
S01007248,310,256,32,11,10,1
S01007249,174,104,34,30,5,1
S01007250,432,120,126,154,25,7
S01007251,250,74,68,86,17,5
S01007252,315,111,92,83,26,3
S01007253,358,201,89,51,16,1
S01007254,401,74,140,157,28,2
S01007255,374,57,144,143,26,4
S01007256,407,83,139,152,24,9
S01007257,296,71,80,101,33,11
S01007258,410,147,99,124,35,5
S01007259,414,82,121,175,32,4
S01007260,418,74,150,153,36,5
S01007261,356,205,90,46,11,4
S01007262,301,72,112,96,17,4
S01007263,366,112,145,85,22,2
S01007264,339,142,95,88,12,2
S01007265,472,144,139,142,40,7
S01007266,305,105,84,85,31,0
S01007267,222,140,48,29,5,0
S01007268,249,157,50,35,7,0
S01007269,224,137,47,29,9,2
S01007270,205,116,59,24,6,0
S01007271,448,206,120,93,24,5
S01007272,417,73,158,152,26,8
S01007273,296,148,76,52,16,4
S01007274,456,128,109,172,36,11
S01007275,243,140,43,33,21,6
S01007276,369,177,96,69,21,6
S01007277,327,231,64,29,1,2
S01007278,227,169,45,13,0,0
S01007279,240,179,31,21,7,2
S01007280,237,153,39,34,9,2
S01007281,361,236,57,50,11,7
S01007282,228,132,52,32,10,2
S01007283,482,299,95,65,16,7
S01007284,403,247,83,58,12,3
S01007285,358,232,77,36,10,3
S01007286,460,219,99,107,24,11
S01007287,281,156,75,38,10,2
S01007288,252,173,44,25,8,2
S01007289,323,216,60,35,10,2
S01007290,276,77,70,100,19,10
S01007291,329,87,86,116,30,10
S01007292,320,157,109,44,9,1
S01007293,310,89,112,85,16,8
S01007294,378,171,117,63,24,3
S01007295,307,25,79,165,27,11
S01007296,354,54,96,156,40,8
S01007297,444,209,93,92,38,12
S01007298,244,89,76,49,25,5
S01007299,387,114,128,101,27,17
S01007300,241,40,78,96,22,5
S01007301,311,223,59,24,3,2
S01007302,280,92,98,71,12,7
S01007303,366,236,68,36,16,10
S01007304,310,191,73,30,14,2
S01007305,305,201,62,30,10,2
S01007306,342,175,85,71,9,2
S01007307,337,232,68,29,7,1
S01007308,339,201,81,43,14,0
S01007309,277,193,38,33,8,5
S01007310,380,209,87,50,31,3
S01007311,343,143,96,82,20,2
S01007312,355,221,75,47,10,2
S01007313,436,282,79,52,15,8
S01007314,292,167,80,31,11,3
S01007315,434,210,142,66,11,5
S01007316,449,169,139,110,27,4
S01007317,266,104,85,53,16,8
S01007318,274,111,95,60,7,1
S01007319,369,150,137,68,12,2
S01007320,353,251,63,29,7,3
S01007321,271,189,53,27,1,1
