,Aged 4 years and under,Aged 75 and above,lone parent with dependent childern,Non-white,unpaid care 20h+,Detached,Semi-detached,Terraced,Flat,Shared house,Owned: Owns outright,Owns with a mortgage or loan or shared ownership,Social rented,Private rented,Entry-level education and below,Economically active: Employee: Part-time,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Unemploy,Elementary occupations,English not as main language,large household size >5 people,under occupancy,No central heating,Electric only
S01012690,3.6,8.7,1.3,0.2,5.1,32.2,62.9,2.5,2.0,0.0,36.6,51.5,6.9,4.0,39.2,15.1,20.2,3.3,3.1,3.3,4.9,8.0,2.1,3.0,87.6,0.0,1.0
S01012691,3.9,9.0,2.3,2.1,2.1,70.4,9.0,6.0,13.6,1.0,41.6,50.7,0.7,6.4,26.6,13.3,19.0,4.7,3.5,0.7,8.0,5.0,0.7,0.7,90.5,0.3,1.4
S01012692,4.0,11.3,3.6,1.3,4.5,15.9,33.5,18.8,30.0,1.5,31.1,38.3,24.6,4.8,46.9,12.7,20.6,4.5,2.7,6.1,6.1,7.7,2.2,0.6,69.8,0.0,2.4
S01012693,5.7,4.9,2.2,1.2,3.5,83.5,11.3,3.7,1.2,0.0,41.1,54.5,2.2,1.9,25.1,14.8,14.0,5.3,3.5,1.4,5.7,4.7,0.9,1.6,94.1,0.0,1.2
S01012694,2.8,11.5,2.9,1.3,3.6,28.9,21.9,47.3,2.0,0.0,24.5,49.0,19.0,5.5,51.5,16.2,19.8,1.2,2.4,3.4,3.0,9.2,2.2,0.0,75.5,0.5,1.5
S01012695,3.0,10.6,1.7,2.4,4.8,57.6,30.3,9.6,1.9,0.3,36.9,43.5,9.5,7.5,51.3,13.6,14.4,4.4,3.9,4.9,7.5,8.5,1.4,2.6,87.3,2.6,16.7
S01012696,4.7,5.0,0.8,18.7,2.0,71.7,14.8,8.1,0.7,0.0,47.8,41.2,1.5,5.1,45.2,9.7,9.4,9.3,2.8,10.4,3.3,8.0,1.1,1.8,93.4,2.9,12.1
S01012697,10.5,4.2,1.8,0.4,3.1,48.8,25.1,21.7,3.4,1.0,41.6,41.6,4.6,8.1,38.5,13.2,16.6,4.7,2.9,3.4,1.8,8.3,1.6,1.5,89.8,2.5,3.6
S01012698,5.9,11.2,1.3,0.4,3.5,58.3,12.5,22.3,6.1,0.9,39.5,45.4,8.3,2.9,41.0,16.6,20.0,2.0,1.9,3.6,7.8,7.3,1.4,0.3,87.0,0.3,2.9
S01012699,5.8,5.6,3.7,0.8,4.4,50.6,17.9,24.2,6.0,0.9,34.5,44.8,12.8,5.8,45.9,13.4,14.4,3.4,3.9,3.6,6.9,6.0,1.4,1.6,83.4,1.6,4.2
S01012700,4.2,12.1,2.2,2.5,3.7,56.1,22.3,14.3,6.7,0.0,41.9,39.7,10.3,5.6,46.8,13.2,18.2,4.1,3.6,3.6,5.2,4.7,0.9,1.6,85.6,1.9,10.9
S01012701,10.7,5.6,1.6,1.8,3.6,29.2,66.4,2.7,1.8,0.0,56.1,35.7,2.3,4.5,42.2,13.9,26.0,4.4,3.5,1.4,3.9,8.0,0.4,0.9,87.8,0.5,2.3
S01012702,6.9,5.4,1.9,3.4,3.7,31.5,37.0,10.4,21.1,0.0,26.8,47.2,9.1,15.0,41.0,11.3,16.4,2.7,2.0,2.4,8.0,4.1,1.6,0.4,78.7,0.8,0.8
S01012703,3.4,2.7,1.8,3.5,2.6,70.9,6.3,20.4,2.4,0.0,13.7,69.8,12.2,2.4,44.0,16.4,5.3,4.8,2.2,3.1,8.1,8.9,2.2,2.0,84.9,0.5,0.0
S01012704,5.7,6.5,4.9,0.3,6.7,2.4,18.3,64.0,14.4,0.6,16.1,42.2,36.8,4.0,70.0,13.0,12.1,3.2,3.6,9.1,18.3,17.2,2.7,0.6,50.2,0.6,0.3
S01012705,4.1,11.6,1.5,6.7,2.7,45.0,49.6,2.7,2.3,0.4,23.0,73.2,1.2,1.2,38.4,16.6,6.8,5.4,3.5,1.7,3.0,4.1,0.9,0.4,87.9,0.0,0.0
S01012706,4.6,6.4,5.2,0.7,6.8,5.3,20.9,62.8,10.6,0.3,17.2,45.1,32.3,4.0,70.2,15.5,12.4,3.9,4.5,9.3,13.8,20.8,1.8,0.3,60.9,0.7,1.0
S01012707,3.1,8.1,1.0,4.0,2.8,46.0,51.9,0.9,1.2,0.0,41.6,53.1,1.2,2.8,31.9,16.7,16.3,4.0,1.9,1.4,4.4,5.3,0.9,1.9,85.1,0.3,0.6
S01012708,5.3,8.3,5.9,1.5,6.6,7.5,13.4,16.4,61.5,0.9,20.2,39.8,33.4,6.0,67.1,12.4,16.4,3.6,3.1,8.9,17.9,15.4,4.0,0.6,56.9,0.6,10.2
S01012709,5.1,15.0,4.5,2.2,7.1,12.1,34.7,27.9,24.9,0.4,28.5,30.4,36.4,2.8,58.1,14.8,24.0,3.4,2.6,5.8,9.5,13.4,2.4,0.0,67.2,0.0,1.6
