lsoa21,Efficiency band E-G,Efficiency band A-B,Fossil fuel dependency,Property built 1930-,Property built 2003+,CO2_EMISSIONS_CURRENT
E01019591,21.2,2.83,94.7,49.12,4.59,4.73
E01019592,22.41,12.37,83.28,15.38,16.72,5.6
E01019593,9.88,0,98.15,0,,4.54
E01019594,10.05,5.88,86.52,9.8,13.73,3.56
E01019595,21.31,12.87,81.01,33.54,5.7,4.8
E01019596,5.44,36.16,66.72,4.48,21.76,3.38
E01019597,7.01,58.08,65.91,0.98,26.1,2.88
E01019598,14.91,24.86,67.69,29.25,13.58,3.42
E01019599,34.08,10.42,87.61,29.58,15.49,6.3
E01019600,31.82,4.55,80.23,52.73,4.32,5.68
E01019601,16.81,0,98.6,19.61,0,4.11
E01019602,28.85,14.18,93.4,43.03,12.71,5.32
E01019603,21.14,43.93,63.79,22.98,16.18,5.51
E01019604,27.98,3.63,89.64,36.53,5.18,6.69
E01019605,52.86,4.9,63.49,43.32,9.26,8.19
E01019606,38.38,0,94.4,49.86,3.92,6.83
E01019607,51.52,6.34,73.28,48.21,6.06,8.58
E01019608,9.69,4.59,97.96,16.33,10.97,3.32
E01019609,12.5,36,75.17,21.83,26.33,3.61
E01019610,21.52,3.31,91.06,38.74,2.98,5.74
E01019611,60.58,2.24,63.46,51.28,4.17,8.93
E01019612,42,3.51,54.13,21.62,6.33,6.46
E01019613,53.93,6.78,63.41,51.22,11.38,8.02
E01019614,35.45,2.68,88.29,48.49,4.68,7.8
E01019615,22.91,1.71,90.79,39.4,4.93,4.93
E01019616,27.18,20.63,72.33,23.79,10.92,5.63
E01019617,41.96,3.54,81.47,52.59,1.36,6.52
E01019618,39.05,1.78,80.18,55.62,5.92,7.17
E01019619,26.99,0,93.77,33.91,0,4.97
E01019620,38.75,0,90.31,78.44,3.44,7.17
E01019621,16.04,30.03,67.92,26.96,6.48,4.4
E01019622,27.15,0,92.78,50.17,4.47,4.97
E01019623,17.15,5.79,83.52,45.21,7.13,4.02
E01019624,12.5,36.88,74.38,12.19,22.5,3.63
E01019625,2.92,3.76,98.33,2.92,11.06,2.96
E01019626,21.83,5.01,91.45,46.61,11.5,4.85
E01019627,20.15,16.73,88.59,30.8,19.77,4.93
E01019628,7.77,41.39,53.78,13.87,11.13,3.19
E01019629,47.87,12.5,63.03,35.64,19.15,8.8
E01019630,37.01,4.2,87.93,56.17,4.99,6.17
E01019631,26.16,2.31,89.35,56.25,4.4,5.58
E01019632,30.12,3.51,85.96,54.68,4.97,5.47
E01019633,10.77,13.54,83.08,11.38,3.69,3.74
E01019634,22.79,16.24,76.64,41.88,5.7,4.66
E01019635,21.95,4.07,93.5,31.71,2.85,4.48
E01019636,21.52,19.07,78.24,38.88,17.6,4.13
E01019638,10.22,2.69,97.85,6.99,0,3.61
E01019639,8.26,14.88,73.28,4.96,15.15,2.9
E01019640,6.67,2.22,96.3,,4.07,3.23
E01019641,21.7,6.38,94.04,16.17,2.55,5.26
E01019642,14.34,5.04,96.51,16.67,0,4.21
E01019643,17.09,7.27,93.82,18.18,3.27,4.41
E01019644,20.25,0,88.61,35.7,1.27,3.48
E01019645,18.56,23.67,66.82,34.11,5.57,3.23
E01019646,14.94,4.6,97.13,31.61,3.16,3.35
E01019647,22.5,14.17,75,51.39,15.56,3.46
E01019648,22.55,0,93.09,21.09,6.55,4.18
E01019649,31.49,1.28,89.79,69.57,6.81,4.51
E01019650,5.62,3.37,94.38,,0,2.78
E01019651,31.62,1.84,98.53,22.06,0,4.66
E01019652,33.09,6.47,90.65,56.83,2.88,5.29
E01019653,13.69,2.07,97.51,5.39,0,4.29
E01019654,17.09,6.01,91.14,24.68,9.18,3.97
E01019655,27.69,4.12,61.1,44.62,22.2,3.9
E01019656,29.85,3.98,92.54,40.8,6.97,5.97
E01019657,20.59,23.36,70.42,44.12,2.94,3.5
E01019658,21.39,10.2,88.31,22.39,27.36,3.49
E01019659,9.64,51.37,65.61,9.64,19.42,2.81
E01019660,19.19,8.08,81.01,32.93,22.02,3.42
E01019661,26.87,4.98,74.38,63.68,3.98,3.93
E01019662,22.44,0.98,91.93,58.46,4.33,3.54
E01019663,3.32,9.37,82.78,,1.51,2.48
E01019664,11.5,3,99.5,4,3.5,3.57
E01019665,20.49,15.85,85.52,29.23,15.57,3.53
E01019666,9.02,5.1,94.9,,,3.44
E01019667,10.03,8.09,92.23,0,,3.33
E01019668,5.32,1.77,98.23,0,0,2.79
E01019669,12.97,2.39,97.61,0,3.41,3.43
E01019670,20.45,2.92,94.16,29.22,1.95,5.42
E01019671,26.32,9.65,83.92,24.56,6.43,5.18
E01019672,28.71,8.79,73.05,52.73,13.09,4.19
E01019673,24.44,5.33,92.89,12.89,11.56,4.99
E01019674,32.59,3.12,95.09,41.07,2.68,4.78
E01019675,22.81,4.15,79.72,48.62,6.22,3.64
E01019676,24.32,5.14,92.81,48.29,4.11,4.12
E01019677,24.81,10,94.44,14.07,8.89,3.84
E01019678,6.77,3.12,85.68,,21.88,2.73
E01019679,31.89,6.12,85.46,46.68,1.53,4.23
E01019680,31.97,6.58,91.54,48.9,10.97,4.97
E01019681,20.47,6.38,87.25,16.44,3.69,4.19
E01019682,19.53,2.99,64.57,36.85,13.23,3.26
E01019683,25.24,2.38,92.38,20,7.62,5.09
E01019684,9.54,6.58,88.49,12.83,20.39,3.55
E01019685,27.68,5.36,91.37,39.58,7.74,4.67
E01019686,23.48,4.17,96.21,25.76,2.27,4.86
E01019687,8.06,2.82,99.6,0,0,3.2
E01019688,19.64,1.49,96.43,45.83,2.08,3.58
E01019689,25.88,1.96,97.65,32.16,0,4.03
E01019690,22.56,5.49,88.11,59.15,14.63,3.9
E01019691,13.08,6.15,96.15,4.62,4.62,3.89
E01019692,15.76,4.24,89.39,15.15,1.52,3.57
E01019693,13.45,17.88,50.8,26.73,22.48,3.19
E01019694,15.17,4.49,98.88,0,0,4.41
E01019695,20.07,7.14,89.8,18.71,2.72,3.76
E01019696,22.26,0,93.96,16.23,4.15,4.44
E01019697,17.75,0,96.54,6.06,0,3.9
E01019698,29.48,0,94.42,27.49,0,4.48
E01019699,7.67,5.56,91.01,,2.12,2.72
E01019700,25.72,1.77,91.35,18.63,4.21,4.24
E01019701,16.71,9.07,84.96,21.24,2.86,4.08
E01019702,15.86,2.76,98.28,1.72,0,4.22
E01019703,16.39,5.25,97.05,19.34,9.84,4.15
E01019704,28.86,4.07,90.24,20.73,2.03,5.61
E01019705,24.08,3.4,90.93,22.38,24.65,3.81
E01019706,17.65,0,94.12,0,0,3.74
E01019707,11.64,2.18,90.91,,2.55,3.11
E01019708,8.88,7.57,88.49,,26.64,3.88
E01019709,13.94,3.98,93.63,12.75,13.94,3.4
E01019710,21.99,2.13,84.63,68.56,3.31,5.06
E01019711,16.8,0,92.19,48.83,3.52,4.64
E01019712,22.9,13.47,88.55,42.09,16.84,5.69
E01019713,14.25,64.37,34.94,16.09,2.53,3.87
E01019714,17.15,7.13,88.86,25.17,30.07,5.43
E01019715,23.39,1.72,84.98,83.26,4.29,5.13
E01019716,17.04,5.56,80,57.41,0,5.51
E01019717,18.83,3.85,75.3,59.51,2.83,4.18
E01019718,18.78,3.29,88.03,34.98,5.16,4.76
E01019719,9.45,35.52,61.6,21.97,4.72,3.21
E01019720,14.86,2.7,98.65,14.86,4.05,4.2
E01019721,6.27,51.28,48.43,4.56,1.42,3.11
E01019722,11.45,29.81,68.68,36.07,23.11,4.38
E01019723,5.66,7.3,72.81,29.93,4.56,4.31
E01019724,12.5,2.88,91.83,26.44,2.88,4.43
E01019725,7.57,38.92,96.76,7.3,41.35,3.52
E01019726,3.23,64.01,94.4,7.98,50.59,2.42
E01019727,14.35,42.38,56.05,15.25,5.16,4.79
E01019728,5.46,5.46,92.35,,0,2.95
E01019729,3.54,0,96.46,,,3.17
E01019730,9.77,4.63,96.14,35.22,5.91,3.92
E01019731,16.43,7.04,93.43,23.94,3.76,4.83
E01019732,12.6,8.27,96.06,27.17,6.3,4.31
E01019733,15,0,94.67,40.67,7.67,4.28
E01019734,18.57,6.63,86.47,48.54,3.45,4.73
E01019735,30.8,2.28,91.63,44.49,4.56,6.75
E01019736,59.8,0,80.4,69.35,5.53,9.22
E01019737,24.51,1.95,94.16,32.68,5.84,5.26
E01019738,18.72,14.36,79.49,78.46,4.87,4.3
E01019739,13.32,20.22,60.97,50.63,13.64,3.47
E01019740,17.35,14.97,84.01,66.33,2.04,4.33
E01019741,10.28,30.83,81.82,31.23,20.95,3.96
E01019742,24.89,13.54,93.01,42.79,15.28,5.24
E01019743,7.93,11.89,80.49,6.4,2.13,3.33
E01019744,19.6,4.65,93.36,39.87,3.32,4.52
E01019745,18.89,14.81,84.07,42.96,6.67,4.25
E01019746,18.88,4.72,76.7,47.79,11.8,4.52
E01019747,26.26,5.05,95.45,55.56,0,5.53
E01019748,14.68,1.39,86.98,71.75,12.74,4.22
E01019749,15.58,4.02,96.98,14.07,0,5.13
E01019750,9.12,27.35,85.29,22.35,9.41,3.53
E01019751,10.65,6.78,92.01,26.39,23,4.37
E01019752,11.41,5.03,94.97,29.19,7.38,3.71
E01019753,15.67,0,90.33,68,14,4.48
E01019754,25.85,5.48,84.07,57.7,6.27,6.32
E01019755,29.14,2.29,88.57,67.43,1.71,6.33
E01019756,16.72,2.09,98.61,5.23,15.33,5.56
E01019757,15.45,6.44,95.71,33.05,0,4.78
E01019758,11.24,22.47,94.76,14.61,18.73,4.27
E01019759,9.77,11.4,85.34,17.59,5.54,3.68
E01019760,14.34,0,96.06,31.9,0,4.47
E01019761,7.57,23.68,97.7,0,29.28,3.13
E01019762,19.46,5.09,86.23,37.72,3.29,6.6
E01019763,14.82,24.7,93.48,37.35,16.6,3.98
E01019764,15.52,19.66,86.55,23.1,23.45,4.63
E01019765,19.11,3.66,91.36,65.18,11.52,4.37
E01019766,24.05,1.72,93.81,42.61,0,5.57
E01019767,12.26,7.66,90.42,24.14,13.79,4.95
E01019768,9.68,4.21,97.05,36.42,11.16,3.36
E01019769,31.41,9.42,80.37,42.67,8.64,7.15
E01019770,22.82,5.34,86.17,24.76,5.1,5.78
E01019771,23.86,5.33,88.32,32.74,10.15,6.07
E01019772,29.84,2.82,91.94,21.37,6.85,6.63
E01019774,21.14,28.61,69.65,12.94,14.93,4.06
E01019775,5.31,53.92,82.47,7.44,40.37,2.5
E01019776,15.19,10.37,94.07,30.37,5.93,4.11
E01019777,7.59,11.48,90.47,8.56,10.51,3.24
E01019778,18.43,1.96,97.25,8.63,0,4.51
E01019779,20.33,0,96.72,11.48,0,4.51
E01019780,12.29,0,98.29,7.51,14.33,3.49
E01019781,15.55,3.18,97.17,16.61,4.59,4.2
E01019782,13.53,5,91.76,13.24,15,3.5
E01019783,13.19,0,98.9,0,0,4.42
E01019784,13.47,4.15,94.3,8.81,0,3.97
E01019785,17.75,3.55,96.45,5.33,0,4.78
E01019786,16.43,5,95,22.86,3.57,3.69
E01019787,11.9,3.87,97.02,4.17,0,4.11
E01019788,12.96,13.95,89.04,7.97,2.99,4.75
E01019790,11.58,1.84,91.58,6.58,1.32,3.56
E01019791,20.65,22.06,76.52,29.76,2.83,3.97
E01019792,6.73,19.71,76.92,1.68,3.12,2.99
E01019793,18.72,2.13,97.45,10.21,,4.88
